junction_length	tpos	cond_pos	cond_all	cond_neg	test_pos	fpos	norm_mini	size_threshold	para_pp	para_pw	sample	radius
36	7238877	7242680	9894576	2651896	7238881	4	0.5	1000	61.865	15.792	M3-1	0.5
39	263400	263445	2729616	2466171	263400	0	0.5	1000	61.865	15.792	M3-1	0.5
42	35711	35878	2158003	2122125	35836	125	0.5	1000	61.865	15.792	M3-1	0.5
45	54792	56285	3736011	3679726	54795	3	0.5	1000	61.865	15.792	M3-1	0.5
48	728014	728177	10776403	10048226	728024	10	0.5	1000	61.865	15.792	M3-1	0.5
51	443288	443478	10131751	9688273	443295	7	0.5	1000	61.865	15.792	M3-1	0.5
54	102009	102378	5519503	5417125	102013	4	0.5	1000	61.865	15.792	M3-1	0.5
57	99630	99788	4837605	4737817	99921	291	0.5	1000	61.865	15.792	M3-1	0.5
59	0	0	0	0	0	0	0.5	1000	61.865	15.792	M3-1	0.5
60	221501	221616	3573801	3352185	221501	0	0.5	1000	61.865	15.792	M3-1	0.5
62	0	0	0	0	0	0	0.5	1000	61.865	15.792	M3-1	0.5
63	576222	576491	9748320	9171829	576222	0	0.5	1000	61.865	15.792	M3-1	0.5
64	0	0	0	0	0	0	0.5	1000	61.865	15.792	M3-1	0.5
66	293041	293128	2492028	2198900	293041	0	0.5	1000	61.865	15.792	M3-1	0.5
68	10	10	15	5	10	0	0.5	1000	61.865	15.792	M3-1	0.5
69	359721	359725	4045590	3685865	359732	11	0.5	1000	61.865	15.792	M3-1	0.5
72	72649	75317	1553203	1477886	72649	0	0.5	1000	61.865	15.792	M3-1	0.5
75	18352	18352	328455	310103	18354	2	0.5	1000	61.865	15.792	M3-1	0.5
76	0	0	0	0	0	0	0.5	1000	61.865	15.792	M3-1	0.5
78	132571	132572	773146	640574	132571	0	0.5	1000	61.865	15.792	M3-1	0.5
81	5138	5138	36585	31447	5138	0	0.5	1000	61.865	15.792	M3-1	0.5
84	623	623	9730	9107	623	0	0.5	1000	61.865	15.792	M3-1	0.5
87	478	478	6670	6192	478	0	0.5	1000	61.865	15.792	M3-1	0.5
90	294	305	2278	1973	294	0	0.5	1000	61.865	15.792	M3-1	0.5
3	0	0	0	0	0	0	0.5	2000	187.022	36.346	M4-1	0.5
6	0	0	0	0	0	0	0.5	2000	187.022	36.346	M4-1	0.5
24	73	75	3570	3495	73	0	0.5	2000	187.022	36.346	M4-1	0.5
27	6507	6507	43071	36564	6513	6	0.5	2000	187.022	36.346	M4-1	0.5
30	709	716	40755	40039	714	5	0.5	2000	187.022	36.346	M4-1	0.5
33	33957	33984	424581	390597	33957	0	0.5	2000	187.022	36.346	M4-1	0.5
36	4978	4979	458403	453424	4984	6	0.5	2000	187.022	36.346	M4-1	0.5
39	222875	234607	6813586	6578979	222894	19	0.5	2000	187.022	36.346	M4-1	0.5
41	0	0	0	0	0	0	0.5	2000	187.022	36.346	M4-1	0.5
42	74305	74965	8559453	8484488	75444	1139	0.5	2000	187.022	36.346	M4-1	0.5
45	274750	274902	18638565	18363663	274771	21	0.5	2000	187.022	36.346	M4-1	0.5
47	0	0	0	0	0	0	0.5	2000	187.022	36.346	M4-1	0.5
48	211052	212334	24981846	24769512	211460	408	0.5	2000	187.022	36.346	M4-1	0.5
49	0	0	0	0	0	0	0.5	2000	187.022	36.346	M4-1	0.5
50	10	10	15	5	10	0	0.5	2000	187.022	36.346	M4-1	0.5
